,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
25.0,0.0524,0.0856,0.6768,0.1852
25.1,0.0524,0.0856,0.6768,0.1852
25.2,0.0524,0.0856,0.6768,0.1852
25.3,0.0524,0.0856,0.6768,0.1852
25.4,0.0524,0.085601,0.676799,0.1852
25.5,0.0524,0.0858,0.6766,0.1852
25.6,0.0524,0.0858,0.6766,0.1852
25.7,0.052475,0.085725,0.6766,0.1852
25.8,0.0526,0.0856,0.6766,0.1852
25.9,0.0526,0.0856,0.6766,0.1852
26.0,0.0526,0.0856,0.6766,0.1852
26.1,0.0526,0.085632,0.676568,0.1852
26.2,0.0526,0.085827,0.676373,0.1852
26.3,0.052673,0.085927,0.6762,0.1852
26.4,0.0528,0.0858,0.6762,0.1852
26.5,0.0528,0.0858,0.6762,0.1852
26.6,0.0528,0.0858,0.6762,0.1852
26.7,0.0528,0.0858,0.6762,0.1852
26.8,0.0528,0.0858,0.6762,0.1852
26.9,0.0528,0.0858,0.6762,0.1852
27.0,0.0528,0.0858,0.6762,0.1852
27.1,0.0528,0.0858,0.6762,0.1852
27.2,0.0528,0.0858,0.6762,0.1852
27.3,0.0528,0.0858,0.6762,0.1852
27.4,0.0528,0.0858,0.6762,0.1852
27.5,0.0528,0.0858,0.6762,0.1852
27.6,0.0528,0.0858,0.6762,0.1852
27.7,0.0528,0.0858,0.6762,0.1852
27.8,0.0528,0.0858,0.6762,0.1852
27.9,0.0528,0.0858,0.6762,0.1852
28.0,0.0528,0.085812,0.676188,0.1852
28.1,0.0528,0.086,0.676,0.1852
28.2,0.0528,0.086,0.676,0.1852
28.3,0.0528,0.086,0.676,0.1852
28.4,0.0528,0.086,0.676,0.1852
28.5,0.0528,0.086,0.676,0.1852
28.6,0.0528,0.086,0.676,0.1852
28.7,0.0528,0.086,0.676,0.1852
28.8,0.0528,0.086,0.676,0.1852
28.9,0.0528,0.086,0.676,0.1852
29.0,0.0528,0.086,0.676,0.1852
29.1,0.0528,0.086,0.676,0.1852
29.2,0.0528,0.086,0.676,0.1852
29.3,0.0528,0.086,0.676,0.1852
29.4,0.0528,0.086006,0.675994,0.1852
29.5,0.0528,0.086372,0.675628,0.1852
29.6,0.0528,0.0864,0.6756,0.1852
29.7,0.0528,0.0864,0.6756,0.1852
29.8,0.0528,0.0864,0.6756,0.1852
