,<nil>,Apoptosis,Metastasis,Metastasis -- Apoptosis,Proliferation,Proliferation -- Apoptosis,Proliferation -- Metastasis,Proliferation -- Metastasis -- Apoptosis
20.6,0.95161,0.0123,0.001477,0.0004,0.034214,0.0,0.0,0.0
20.7,0.951418,0.012173,0.001609,0.0004,0.0344,0.0,0.0,0.0
20.8,0.951222,0.012497,0.001613,0.0004,0.034267,0.0,0.0,0.0
20.9,0.95114,0.01286,0.0014,0.0004,0.0342,0.0,0.0,0.0
21.0,0.951679,0.012321,0.001593,0.000207,0.0342,0.0,0.0,0.0
21.1,0.951952,0.0122,0.00161,3.8e-05,0.0342,0.0,0.0,0.0
21.2,0.952494,0.011788,0.00156,0.0,0.034158,0.0,0.0,0.0
21.3,0.952931,0.011472,0.0014,0.0,0.034197,0.0,0.0,0.0
21.4,0.953366,0.010983,0.0014,0.0,0.034251,0.0,0.0,0.0
21.5,0.954112,0.009989,0.0014,0.0,0.034499,0.0,0.0,0.0
21.6,0.954238,0.009962,0.0014,0.0,0.0344,0.0,0.0,0.0
21.7,0.953885,0.010134,0.0014,0.0,0.034581,0.0,0.0,0.0
21.8,0.95393,0.01007,0.0014,0.0,0.0346,0.0,0.0,0.0
21.9,0.954262,0.009557,0.0014,0.000181,0.0346,0.0,0.0,0.0
22.0,0.954114,0.009686,0.0014,0.0002,0.0346,0.0,0.0,0.0
22.1,0.954188,0.009483,0.001529,0.0002,0.0346,0.0,0.0,0.0
22.2,0.954507,0.009093,0.001709,9.1e-05,0.0346,0.0,0.0,0.0
22.3,0.954702,0.008898,0.0018,0.0,0.0346,0.0,0.0,0.0
22.4,0.955001,0.008487,0.001912,0.0,0.0346,0.0,0.0,0.0
22.5,0.955558,0.008042,0.0018,0.0,0.0346,0.0,0.0,0.0
22.6,0.955406,0.00833,0.001665,0.0,0.0346,0.0,0.0,0.0
22.7,0.955673,0.008292,0.0016,0.0,0.034436,0.0,0.0,0.0
22.8,0.956011,0.007897,0.001692,0.0,0.0344,0.0,0.0,0.0
22.9,0.956574,0.007618,0.001408,0.0,0.0344,0.0,0.0,0.0
23.0,0.956446,0.007754,0.0014,0.0,0.0344,0.0,0.0,0.0
23.1,0.956676,0.007524,0.0014,0.0,0.0344,0.0,0.0,0.0
23.2,0.957174,0.007026,0.0014,0.0,0.0344,0.0,0.0,0.0
23.3,0.9578,0.006542,0.001258,0.0,0.0344,0.0,0.0,0.0
23.4,0.95841,0.00599,0.0012,0.0,0.0344,0.0,0.0,0.0
23.5,0.959009,0.005391,0.0012,0.0,0.0344,0.0,0.0,0.0
23.6,0.959012,0.005347,0.0012,0.0,0.034441,0.0,0.0,0.0
23.7,0.959073,0.005327,0.0012,0.0,0.0344,0.0,0.0,0.0
23.8,0.9592,0.0052,0.0012,0.0,0.0344,0.0,0.0,0.0
23.9,0.959134,0.00508,0.001192,0.0,0.034586,0.0,8e-06,0.0
24.0,0.959169,0.005041,0.00099,0.0,0.0346,0.0,0.0002,0.0
24.1,0.958882,0.00532,0.000999,0.0,0.0346,0.0,0.0002,0.0
24.2,0.958985,0.0054,0.000815,0.0,0.0346,0.0,0.0002,0.0
24.3,0.958971,0.005251,0.0008,0.000178,0.0346,0.0,0.0002,0.0
24.4,0.959041,0.005176,0.0008,0.0002,0.034584,0.0,0.0002,0.0
24.5,0.958901,0.005299,0.0008,0.0002,0.0346,0.0,0.0002,0.0
24.6,0.958712,0.005488,0.0008,0.0002,0.0346,0.0,0.0002,0.0
24.7,0.958497,0.005777,0.000726,0.0002,0.0346,0.0,0.0002,0.0
24.8,0.958548,0.005852,0.0006,0.0002,0.0346,0.0,0.0002,0.0
24.9,0.958694,0.005706,0.0006,0.0002,0.0346,0.0,0.0002,0.0
25.0,0.958954,0.005446,0.0006,0.0002,0.0346,0.0,0.0002,0.0
25.1,0.9588,0.0056,0.0006,0.0002,0.0346,0.0,0.0002,0.0
25.2,0.959054,0.005588,0.000357,0.0002,0.0346,0.0,0.0002,0.0
25.3,0.959228,0.005572,0.0002,0.0002,0.0346,0.0,0.0002,0.0
25.4,0.95918,0.005609,0.00021,0.0002,0.0346,0.0,0.0002,0.0
25.5,0.959103,0.005497,0.0004,0.0002,0.0346,0.0,0.0002,0.0
25.6,0.959501,0.005099,0.0004,0.0002,0.0346,0.0,0.0002,0.0
25.7,0.95944,0.00516,0.0004,0.0002,0.0346,0.0,0.0002,0.0
25.8,0.9596,0.005,0.0004,0.0002,0.0346,0.0,0.0002,0.0
25.9,0.959625,0.005019,0.000357,0.0002,0.0346,0.0,0.0002,0.0
26.0,0.959537,0.005445,0.0002,1.8e-05,0.0346,0.0,0.0002,0.0
26.1,0.959459,0.005541,0.0002,0.0,0.0346,0.0,0.0002,0.0
26.2,0.959581,0.005419,0.0002,0.0,0.0346,0.0,0.0002,0.0
26.3,0.959901,0.005228,0.0002,0.0,0.034471,0.0,0.0002,0.0
26.4,0.959813,0.005357,0.0002,0.0,0.03443,0.0,0.0002,0.0
26.5,0.959783,0.005167,0.0002,0.0,0.034649,0.0,0.0002,0.0
26.6,0.959827,0.004843,0.0002,0.000138,0.034792,0.0,0.0002,0.0
26.7,0.960341,0.004259,0.0002,0.0002,0.0348,0.0,0.0002,0.0
26.8,0.960574,0.004173,1e-05,0.0002,0.034653,0.0,0.00039,0.0
26.9,0.9608,0.004,3.5e-05,0.0002,0.0346,0.0,0.000365,0.0
27.0,0.960808,0.004,0.0002,0.0002,0.034592,0.0,0.0002,0.0
27.1,0.960891,0.003821,0.0002,0.0002,0.034689,0.0,0.0002,0.0
27.2,0.960829,0.003771,0.0002,0.0002,0.0348,0.0,0.0002,0.0
27.3,0.9608,0.0038,0.0002,0.0002,0.0348,0.0,0.0002,0.0
27.4,0.960684,0.003916,0.0002,0.0002,0.0348,0.0,0.0002,0.0
27.5,0.960889,0.003711,0.000211,0.000189,0.0348,0.0,0.0002,0.0
27.6,0.961104,0.003496,0.0004,0.0,0.0348,0.0,0.0002,0.0
27.7,0.961518,0.0032,0.0004,0.0,0.034682,0.0,0.0002,0.0
27.8,0.961913,0.002887,0.0004,0.0,0.0346,0.0,0.0002,0.0
27.9,0.962,0.0028,0.0004,0.0,0.034721,0.0,7.9e-05,0.0
28.0,0.961878,0.002922,0.0004,0.0,0.0348,0.0,0.0,0.0
28.1,0.961844,0.002956,0.0004,0.0,0.0348,0.0,0.0,0.0
28.2,0.961754,0.003046,0.0004,0.0,0.0348,0.0,0.0,0.0
28.3,0.961461,0.003323,0.000416,0.0,0.0348,0.0,0.0,0.0
28.4,0.961571,0.0032,0.000429,0.0,0.0348,0.0,0.0,0.0
28.5,0.9616,0.0032,0.0004,0.0,0.0348,0.0,0.0,0.0
28.6,0.961956,0.003008,0.0004,0.0,0.034637,0.0,0.0,0.0
28.7,0.9622,0.0028,0.0004,0.0,0.0346,0.0,0.0,0.0
28.8,0.962324,0.002676,0.0004,0.0,0.0346,0.0,0.0,0.0
28.9,0.962541,0.0026,0.000429,0.0,0.034429,0.0,0.0,0.0
29.0,0.962595,0.002405,0.0006,0.0,0.0344,0.0,0.0,0.0
29.1,0.963,0.002,0.0006,0.0,0.0344,0.0,0.0,0.0
29.2,0.963,0.002,0.0006,0.0,0.0344,0.0,0.0,0.0
29.3,0.963,0.002,0.0006,0.0,0.0344,0.0,0.0,0.0
29.4,0.963091,0.001916,0.0006,8.4e-05,0.034309,0.0,0.0,0.0
29.5,0.963081,0.001863,0.000553,0.0002,0.034303,0.0,0.0,0.0
29.6,0.963,0.002,0.0004,0.0002,0.0344,0.0,0.0,0.0
29.7,0.963153,0.001894,0.000434,0.000119,0.0344,0.0,0.0,0.0
29.8,0.963125,0.001582,0.0006,0.0,0.034693,0.0,0.0,0.0
