,<nil>,Apoptosis,Apoptosis -- Metastasis,Apoptosis -- Metastasis -- Proliferation,Apoptosis -- Proliferation,Metastasis,Metastasis -- Proliferation,Proliferation
11.4,0.875446,0.058922,0.0002,0.0,0.0,0.01025,0.002,0.053182
11.5,0.875987,0.057916,0.000278,0.0,0.0,0.010674,0.001949,0.053197
11.6,0.876472,0.057559,0.0004,0.0,0.0,0.01087,0.002,0.052699
11.7,0.877542,0.056773,0.0004,0.0,0.0,0.010429,0.001978,0.052878
11.8,0.878697,0.05594,0.0004,0.0,0.0,0.010279,0.001779,0.052906
11.9,0.879858,0.055453,0.0004,0.0,0.0,0.009982,0.0016,0.052707
12.0,0.880196,0.054325,0.0004,0.0,0.0,0.010059,0.001522,0.053498
12.1,0.881449,0.052969,0.0004,0.0,0.0,0.009468,0.001215,0.054499
12.2,0.882032,0.052772,0.000531,0.0,0.0,0.009109,0.0012,0.054356
12.3,0.883759,0.051654,0.000688,0.0,0.0,0.008681,0.0012,0.054017
12.4,0.885197,0.050429,0.000714,0.0,0.0,0.008437,0.001266,0.053957
12.5,0.886142,0.04952,0.0006,0.0,0.0,0.008177,0.0014,0.054162
12.6,0.887638,0.048627,0.0006,0.0,0.0,0.00801,0.0014,0.053725
12.7,0.88818,0.048253,0.0006,0.0,0.0,0.008216,0.0014,0.053351
12.8,0.889238,0.047607,0.0006,0.0,0.0,0.008047,0.0014,0.053108
12.9,0.890633,0.046401,0.00074,0.0,0.0,0.008199,0.0014,0.052627
13.0,0.891583,0.046135,0.0008,0.0,0.0,0.008021,0.001309,0.052152
13.1,0.892712,0.044725,0.000804,0.0,0.0,0.00823,0.001151,0.052378
13.2,0.89317,0.043934,0.000902,0.0,0.0,0.008549,0.001338,0.052106
13.3,0.893885,0.04353,0.000786,0.0,0.0,0.008468,0.0014,0.05193
13.4,0.894533,0.042553,0.000614,0.0,0.0,0.008872,0.0014,0.052028
13.5,0.895956,0.041757,0.0006,0.0,0.0,0.008439,0.0014,0.051848
13.6,0.897181,0.040973,0.0006,0.0,0.0,0.008028,0.001406,0.051812
13.7,0.897129,0.041198,0.0006,0.0,0.0,0.007726,0.0014,0.051947
13.8,0.896856,0.041266,0.000696,0.0,0.0,0.00766,0.001207,0.052316
13.9,0.898079,0.04006,0.0008,0.0,0.0,0.007029,0.0012,0.052831
14.0,0.899504,0.039126,0.000875,0.0,0.0,0.006701,0.001471,0.052322
14.1,0.90032,0.038177,0.000536,0.0,0.0,0.007064,0.001617,0.052287
14.2,0.900427,0.037662,0.0004,0.0,0.0,0.007035,0.0018,0.052676
14.3,0.901319,0.036401,0.000531,0.0,0.0,0.007037,0.0018,0.052912
14.4,0.902111,0.035823,0.0006,0.0,0.0,0.006458,0.0018,0.053208
14.5,0.902815,0.035046,0.0006,0.0,0.0,0.006099,0.001824,0.053616
14.6,0.903047,0.034129,0.000577,0.0,0.0,0.006249,0.0018,0.054198
14.7,0.904324,0.033624,0.0004,0.0,0.0,0.005793,0.001695,0.054164
14.8,0.905017,0.033065,0.000497,0.0,0.0,0.005607,0.001541,0.054274
14.9,0.904668,0.032681,0.0006,0.0,0.0,0.005705,0.001599,0.054747
15.0,0.905415,0.031894,0.0006,0.0,0.0,0.005877,0.001305,0.054909
15.1,0.906287,0.031091,0.0006,0.0,0.0,0.00613,0.0012,0.054692
15.2,0.905422,0.031325,0.000621,0.0,0.0,0.006634,0.00113,0.054868
15.3,0.906817,0.030075,0.0006,0.0,0.0,0.006627,0.001,0.054881
15.4,0.90871,0.02879,0.000604,0.0,0.0,0.006467,0.001,0.054429
15.5,0.909588,0.027995,0.0008,0.0,0.0,0.006082,0.001,0.054534
15.6,0.909783,0.027966,0.000754,0.0,0.0,0.005697,0.001,0.0548
15.7,0.910805,0.026974,0.0006,0.0,0.0,0.0056,0.000951,0.05507
15.8,0.911316,0.026637,0.0006,0.0,0.0,0.005578,0.0008,0.055069
15.9,0.912677,0.025383,0.00075,0.0,0.0,0.0052,0.0008,0.055191
16.0,0.912551,0.025197,0.000815,0.0,0.0,0.005425,0.000675,0.055338
16.1,0.913091,0.024787,0.0008,0.0,0.0,0.005231,0.000691,0.0554
16.2,0.913825,0.024406,0.000781,0.0,0.0,0.004852,0.000772,0.055363
16.3,0.913855,0.023824,0.000656,0.0,0.0,0.005373,0.000736,0.055556
16.4,0.913785,0.023424,0.0008,0.0,0.0,0.005025,0.0008,0.056165
16.5,0.914086,0.023487,0.0008,0.0,0.0,0.0046,0.0008,0.056227
16.6,0.913902,0.023178,0.0008,0.0,0.0,0.004406,0.0008,0.056914
16.7,0.91471,0.022713,0.0008,0.0,0.0,0.004157,0.000764,0.056856
16.8,0.914517,0.022999,0.000924,0.0,0.0,0.004043,0.000432,0.057085
16.9,0.915236,0.022611,0.001,0.0,0.0,0.003735,0.0004,0.057018
17.0,0.914865,0.022615,0.001,0.0,0.0,0.0036,0.0004,0.057519
17.1,0.915051,0.022273,0.001,0.0,0.0,0.003676,0.0004,0.0576
17.2,0.915547,0.022528,0.001,0.0,0.0,0.002977,0.0004,0.057549
